Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
436359.051083,704184.2300607099,5638504.046329078,76700.0,356.125,-7.375,11.125,1.003921628,1.0,image6264.jpg,5.0,30U,704184.2263165852,5638504.069411373,76645.23698892226,-57.003243718576186,-56.30043754635176
436422.323844,,,,355.5625,-6.9375,11.375,1.003921628,0.0,image6265.jpg,,,704184.2761916866,5638503.992600932,76633.10082036957,-57.23712546430221,-55.73793754635176
436490.4265,704184.3172451525,5638503.919855149,76700.0,355.4375,-7.875,10.625,1.003921628,1.0,image6266.jpg,5.0,30U,704184.3296007568,5638503.909608226,76619.70131328452,-57.327385476383256,-55.61293754635176
436560.865667,704184.3934314996,5638503.774391521,76600.0,355.8125,-8.0625,9.625,1.003921628,0.0,image6267.jpg,5.0,30U,704184.3847473536,5638503.823618195,76605.3846835673,-57.2552961716853,-55.98793754635176
436629.515823,,,,356.1875,-8.0625,10.625,1.003921628,0.0,image6268.jpg,,,704184.4385913926,5638503.739891252,76591.26216759685,-57.078134245125,-56.36293754635176
436690.702698,704184.4439795961,5638503.683592003,76600.0,355.875,-8.375,9.9375,1.003921628,0.0,image6269.jpg,5.0,30U,704184.4869318891,5638503.665230712,76578.58770670518,-57.394018337165335,-56.05043754635176
436760.996812,704184.5208943608,5638503.519599672,76600.0,355.1875,-7.625,9.5625,1.003921628,0.0,image6270.jpg,5.0,30U,704184.5420215348,5638503.579109244,76563.52704765987,-57.14257710844896,-55.36293754635176
436824.951291,,,,355.0,-7.375,7.6875,1.003921628,0.0,image6271.jpg,,,704184.5924819113,5638503.500982137,76549.5780072693,-57.323001027553744,-55.17543754635176
436891.377385,704184.6088072297,5638503.374597046,76600.0,353.75,-5.9375,9.5,1.003921628,0.0,image6272.jpg,5.0,30U,704184.6447129945,5638503.419551977,76534.8782674454,-57.47251558647105,-53.92543754635176
436962.501187,704184.7062613794,5638503.285641529,76600.0,353.5625,-5.8125,10.125,1.003921628,1.0,image6273.jpg,5.0,30U,704184.700403131,5638503.332228439,76518.72294173276,-57.28100917125698,-53.73793754635176
437026.851135,,,,353.0,-5.6875,10.625,1.003921628,0.0,image6274.jpg,,,704184.751051145,5638503.253393538,76503.71523818561,-57.48740559266008,-53.17543754635176
