Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone
206992.8419000000,704163.1020986184,5638711.3734351043,93800.0000000000,27.3750000000,9.6250000000,7.1875000000,1.0039216280,11.0000000000,image2990.jpg,5,30U
207054.4297650000,704163.0720191812,5638711.2423512572,93800.0000000000,29.5000000000,10.1250000000,7.1875000000,1.0039216280,9.0000000000,image2991.jpg,5,30U
207123.3642960000,nan,nan,nan,30.3125000000,9.9375000000,7.8125000000,1.0039216280,6.0000000000,image2992.jpg,nan,nan
207193.1603900000,704163.0646634407,5638711.1307180440,93800.0000000000,30.8750000000,9.9375000000,6.7500000000,1.0039216280,1.0000000000,image2993.jpg,5,30U
207252.2960150000,704163.0455816585,5638711.0186238708,93800.0000000000,31.2500000000,9.3750000000,5.8750000000,1.0039216280,0.0000000000,image2994.jpg,5,30U
207325.1002330000,704163.0374975334,5638710.9255193658,93800.0000000000,30.9375000000,9.6875000000,6.5000000000,1.0039216280,0.0000000000,image2995.jpg,5,30U
207392.4037230000,nan,nan,nan,30.7500000000,9.3125000000,6.3750000000,1.0039216280,0.0000000000,image2996.jpg,nan,nan
207454.2788790000,704163.0301417910,5638710.8138861554,93800.0000000000,30.3750000000,9.7500000000,6.1250000000,1.0039216280,0.0000000000,image2997.jpg,5,30U
207520.3916400000,nan,nan,nan,30.2500000000,10.0625000000,5.6250000000,1.0039216280,1.0000000000,image2998.jpg,nan,nan
207590.6142960000,704163.0117883892,5638710.6832632730,93800.0000000000,29.9375000000,9.3125000000,5.7500000000,1.0039216280,0.0000000000,image2999.jpg,5,30U
207657.6892440000,704163.0044326452,5638710.5716300616,93800.0000000000,29.5625000000,9.5000000000,5.8125000000,1.0039216280,0.0000000000,image3000.jpg,5,30U
207726.2722640000,704162.9611703911,5638710.4771426683,93800.0000000000,29.5000000000,9.4375000000,6.4375000000,1.0039216280,0.0000000000,image3001.jpg,5,30U
207790.4496080000,nan,nan,nan,29.2500000000,9.8750000000,5.8125000000,1.0039216280,1.0000000000,image3002.jpg,nan,nan
207854.4923170000,704162.9545430280,5638710.3469807506,93800.0000000000,29.2500000000,10.3750000000,5.6875000000,1.0039216280,0.0000000000,image3003.jpg,5,30U
207921.9564310000,nan,nan,nan,29.2500000000,10.3125000000,5.1250000000,1.0039216280,0.0000000000,image3004.jpg,nan,nan
207989.7567440000,704162.9347328562,5638710.2534152828,93900.0000000000,28.8125000000,10.3125000000,5.4375000000,1.0039216280,0.0000000000,image3005.jpg,5,30U
208058.6654410000,704162.8812013193,5638710.1214095140,93900.0000000000,28.1875000000,10.0625000000,5.5000000000,1.0039216280,0.0000000000,image3006.jpg,2,30U
208129.8188790000,704162.8621195272,5638710.0093153389,93900.0000000000,27.8125000000,10.1250000000,4.8750000000,1.0039216280,0.0000000000,image3007.jpg,2,30U
