Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],GPS quality
9728.370621,,,,359.9375,-7.125,1.125,0.0156862754,1.0, 
9786.08484,704051173784.7506,5638924355062.385,87000000.0,359.9375,-7.125,1.125,0.1411764771,0.0, 5.0
9853.962652,704051162059.198,5638924354601.661,87000000.0,359.9375,-7.125,1.125,0.3058823645,0.0, 5.0
9923.243538,,,,359.9375,-7.0625,1.125,0.400000006,0.0, 
9990.351923,704051173056.7161,5638924373591.1,87000000.0,359.75,-7.0,1.5,0.4470588267,2.0, 5.0
10054.693069,704051173056.7161,5638924373591.1,87000000.0,359.6875,-6.625,3.25,0.400000006,0.0, 5.0
10122.335256,,,,359.375,-6.625,4.25,0.4470588267,0.0, 
10185.920465,704051197963.8905,5638924337455.112,87000000.0,359.0,-7.1875,3.5625,0.4392156899,2.0, 5.0
10256.747392,704051211145.5123,5638924300858.399,87000000.0,359.125,-8.1875,4.1875,0.470588237,0.0, 5.0
10321.269163,,,,358.0625,-8.625,3.875,0.4313725531,0.0, 
10386.792808,704051247778.2402,5638924265183.134,87000000.0,358.0625,-9.0,3.6875,0.4235294163,0.0, 5.0
10455.381454,704051297592.5913,5638924192911.156,87000000.0,356.9375,-7.5625,2.8125,0.3843137324,2.0, 5.0
10522.873537,,,,357.5625,-8.3125,3.25,0.3686274588,3.0, 
10586.714527,704051323227.8022,5638924138246.45,87000000.0,357.0,-7.625,4.1875,0.4078431427,8.0, 5.0
10655.989892,704051361316.602,5638924065513.751,87000000.0,356.9375,-6.8125,4.9375,0.4078431427,17.0, 5.0
10724.393381,,,,357.4375,-5.3125,6.3125,0.4392156899,26.0, 
10787.252183,704051422128.4746,5638924012231.214,87000000.0,357.9375,-4.9375,6.625,0.400000006,28.0, 5.0
10855.944527,704051459489.2412,5638923958027.232,87000000.0,359.875,-4.4375,7.0625,0.4392156899,28.0, 5.0
10924.875464,,,,1.0,-4.4375,6.5625,0.4392156899,29.0, 
10989.599371,704051462401.3828,5638923883912.361,87000000.0,3.0,-3.75,7.625,0.400000006,27.0, 5.0
11053.168693,704051488036.5968,5638923829247.656,87000000.0,4.5,-3.5625,7.875,0.4392156899,26.0, 5.0
11124.765256,,,,6.1875,-3.1875,7.75,0.4784313738,25.0, 
11192.130933,704051513671.8113,5638923774582.95,87000000.0,7.5,-2.375,8.125,0.5647059083,26.0, 5.0
11253.04786,704051528309.5076,5638923700928.805,87000000.0,9.0625,-2.375,8.3125,0.5647059083,16.0, 5.0
11323.214162,,,,10.3125,-2.625,8.125,0.6196078658,13.0, 
11394.005985,704051531221.65,5638923626813.935,87000000.0,12.25,-2.3125,8.8125,0.6039215922,14.0, 5.0
