Timestamp [ms],X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees],Speed,Steering angle [degrees],Filename,GPS quality,UTM zone,fitted x deg 1,fitted y deg 1,fitted z deg 1,gps_h deg 1,corrected IMU heading [degrees]
317182.228368,704141178.0499246,5638609726.739277,95800.0,86.9375,14.875,8.4375,1.003921628,0.0,image4557.jpg,2.0,30U,704141.1075698121,5638609.797124079,95737.11561189078,-113.048499139576,-147.1129375463518
317248.206962,,,,86.4375,14.25,8.0,1.003921628,0.0,image4558.jpg,,,704141.0720780902,5638609.713707211,95744.76557869588,-112.80484723174249,-146.6129375463518
317302.747483,704141149.4256504,5638609558.598192,95900.0,86.3125,13.9375,7.5625,1.003921628,0.0,image4559.jpg,2.0,30U,704141.0428435529,5638609.644177462,95751.75619004262,-113.89500686646277,-146.4879375463518
317371.988577,704141104.7054185,5638609501.168436,95900.0,85.9375,13.5,6.625,1.003921628,0.0,image4560.jpg,2.0,30U,704141.0042375064,5638609.557037465,95758.83608666444,-114.02001628181632,-146.1129375463518
317436.132535,,,,85.8125,12.9375,6.125,1.003921628,2.0,image4561.jpg,,,704140.9681823025,5638609.47613223,95765.03996281,-114.6929443287554,-145.9879375463518
317506.152275,704141045.3457919,5638609517.392609,95900.0,84.9375,13.3125,4.5,1.003921628,0.0,image4562.jpg,2.0,30U,704140.9278608744,5638609.388438714,95771.39478025638,-114.9744227656684,-145.1129375463518
317574.836024,704140992.5406939,5638609366.858412,95900.0,84.6875,11.625,5.5625,1.003921628,0.0,image4563.jpg,2.0,30U,704140.8876865876,5638609.30218417,95777.0185303876,-115.16716264792292,-144.8629375463518
317638.767899,,,,83.625,10.8125,4.5,1.003921628,0.0,image4564.jpg,,,704140.8498374585,5638609.221630875,95781.77645493195,-115.69347350345072,-143.8004375463518
317705.147222,704140903.100222,5638609251.998912,95900.0,83.375,10.9375,3.9375,1.003921628,1.0,image4565.jpg,2.0,30U,704140.8097688037,5638609.138350084,95786.54519810276,-116.16973752070317,-143.5504375463518
317774.499774,704140824.6577357,5638609156.129026,96000.0,83.75,9.8125,4.3125,1.003921628,0.0,image4566.jpg,2.0,30U,704140.7671148198,5638609.051550043,95790.81094334688,-116.43869717170368,-143.9254375463518
317840.753993,,,,83.6875,10.9375,4.9375,1.003921628,0.0,image4567.jpg,,,704140.725846217,5638608.968555774,95794.22722693766,-116.80750541682426,-143.8629375463518
